,Date.Sampled,Address,HCluster,longitude,latitude
0,9/4/2019,"10045 S Bell Ave, Chicago, IL",1,-87.67781490218228,41.71051425
1,7/16/2016,"10081 S Calhoun Ave, Chicago, IL",2,-87.56204067346938,41.71215663265306
2,12/17/2019,"10036 S Calumet Ave, Chicago, IL",2,-87.6153543516618,41.7116373
3,7/14/2021,"10074 S Carpenter St, Chicago, IL",3,-87.64912887390606,41.710999739017666
4,12/14/2019,"10048 S Carpenter St, Chicago, IL",3,-87.64928291694758,41.71080275
5,12/14/2021,"10050 S Lasalle St, Chicago, IL",2,-87.6322608,41.879333
6,9/16/2016,"10027 S Washtenaw Ave, Chicago, IL",4,-87.68887361752259,41.71096245
9,3/23/2022,"10159 S Lasalle St, Chicago, IL",2,-87.6322608,41.879333
10,6/18/2021,"10188 S Peoria St, Chicago, IL",1,-87.64543002695355,41.708992406982816
12,12/10/2016,"10190 S Seeley Ave, Chicago, IL",5,-87.67346020544382,41.707794691948905
13,6/28/2021,"10130 S St Lawrence Ave, Chicago, IL",1,-87.6092305560604,41.710065650000004
14,10/26/2021,"10125 S Washtenaw Ave, Chicago, IL",3,-87.68900938689589,41.70944880754576
15,5/21/2021,"10153 S Yates Ave, Chicago, IL",1,-87.56421545158824,41.71019075
16,1/24/2020,"10186 S Yates Ave, Chicago, IL",2,-87.56465141867253,41.71021088135345
17,12/20/2016,"10257 S Artesian Ave, Chicago, IL",2,-87.68282123416851,41.70744258198515
19,6/23/2021,"10250 S May St, Chicago, IL",1,-87.65148312321277,41.70796267595766
20,9/17/2019,"10226 S Oglesby Ave, Chicago, IL",2,-87.56584718620987,41.70945945768833
21,9/28/2016,"10374 S Hamilton Ave, Chicago, IL",1,-87.67563513303124,41.705150909420446
23,10/8/2016,"10393 S Prospect Ave, Chicago, IL",4,-87.66192736846983,41.70503299814669
24,8/26/2016,"10336 S St Louis Ave, Chicago, IL",2,-87.70886206964389,41.70536426984029
25,7/25/2016,"10391 S Vernon Ave, Chicago, IL",1,-87.61239527306569,41.70572468031627
28,3/10/2022,"10493 S Avenue F, Chicago, IL",2,-87.530342,41.704769285714285
29,3/2/2019,"10410 S Avenue J, Chicago, IL",2,-87.534189,41.706104673257684
30,6/8/2021,"10421 S Calumet Ave, Chicago, IL",2,-87.61465143839163,41.70475315
31,11/30/2021,"10493 S Corliss Ave, Chicago, IL",2,-87.60380104823986,41.70399265221513
32,6/17/2021,"10460 S Eggleston Ave, Chicago, IL",3,-87.63440625533296,41.70394572384547
33,9/14/2021,"10468 S Rhodes Ave, Chicago, IL",3,-87.61012988529927,41.70413282149982
34,11/1/2021,"10447 S Springfield Ave, Chicago, IL",3,-87.7182384861348,41.70322482927981
35,1/13/2017,"10446 S Trumbull Ave, Chicago, IL",2,-87.70762973177496,41.7029008
36,10/10/2019,"10532 S Central Park Ave, Chicago, IL",4,-87.71126882604533,41.70137365
37,12/13/2017,"10580 S Christiana Ave, Chicago, IL",5,-87.70504682780086,41.700323357262064
38,4/25/2018,"10588 S Christiana Ave, Chicago, IL",2,-87.70504460596833,41.700261841164505
40,10/29/2019,"10599 S Homan Ave, Chicago, IL",4,-87.70591718115197,41.700423916234556
41,3/13/2020,"10546 S Kedzie Ave, Chicago, IL",1,-87.70128203318218,41.70135735293234
42,11/4/2021,"10528 S Kedzie Ave, Chicago, IL",2,-87.70129758040514,41.70180167093904
43,10/8/2019,"10572 S Oakley Ave, Chicago, IL",1,-87.67913334983116,41.70147189313365
44,8/30/2021,"10597 S Seeley Ave, Chicago, IL",2,-87.67274971398942,41.7011686347089
45,6/15/2021,"10624 S Aberdeen St, Chicago, IL",4,-87.6494830332071,41.700876005418074
46,10/19/2021,"10614 S Church St, Chicago, IL",2,-87.66048126241512,41.700794849999994
47,9/10/2019,"10636 S Drake Ave, Chicago, IL",4,-87.70978036750277,41.6998774467478
48,11/30/2021,"10619 S Eberhart Ave, Chicago, IL",5,-87.61105702325197,41.70154437528225
49,1/25/2022,"10685 S Eberhart Ave, Chicago, IL",2,-87.61103636827119,41.70078671597731
52,12/3/2019,"10612 S Normal Ave, Chicago, IL",2,-87.63568510935914,41.70111315
53,2/25/2017,"10754 S Avenue O, Chicago, IL",1,-87.54038442589342,41.69938005
54,6/15/2021,"10716 S Buffalo Ave, Chicago, IL",3,-87.54388805236789,41.7005723420007
55,9/12/2017,"10710 S Champlain Ave, Chicago, IL",1,-87.60745280752882,41.699488939062
57,10/5/2016,"10763 S Spaulding Ave, Chicago, IL",1,-87.70339471428572,41.69826518367347
59,6/21/2021,"10743 S Wallace St, Chicago, IL",4,-87.63741749505343,41.69841195
61,12/19/2019,"10894 S Avenue F, Chicago, IL",1,-87.53056573160885,41.6974538770917
62,9/4/2019,"10881 S Central Park Ave, Chicago, IL",3,-87.71062274775302,41.69548793708432
63,2/22/2020,"10845 S Drake Ave, Chicago, IL",5,-87.70943712767415,41.6960853195277
64,12/6/2021,"10849 S Eggleston Ave, Chicago, IL",2,-87.6337743536434,41.6964817
65,1/28/2020,"10882 S Green St, Chicago, IL",2,-87.64383253375097,41.696361662304696
66,3/2/2022,"10822 S Hamlin Ave, Chicago, IL",2,-87.71574662374273,41.696335726178056
67,9/3/2019,"10821 S Prospect Ave, Chicago, IL",2,-87.662979863461,41.69680535246711
68,5/28/2021,"10819 S Vernon Ave, Chicago, IL",5,-87.61199295258493,41.69757075
69,3/10/2020,"10985 S Ewing Ave, Chicago, IL",2,-87.535172,41.6958221431523
70,1/24/2020,"10930 S Lawndale Ave, Chicago, IL",2,-87.71327790970592,41.694422628626455
71,6/24/2021,"10980 S Morgan St, Chicago, IL",5,-87.64742108327971,41.69442717893775
72,9/18/2019,"10935 S Peoria St, Chicago, IL",1,-87.64459510267459,41.69496225
73,11/5/2019,"1094 N Central Park Ave, Chicago, IL",2,-87.71660059645244,41.90074063833747
74,2/7/2020,"1046 N Damen Ave, Chicago, IL",2,-87.67729871216301,41.90074254192253
76,10/9/2019,"1069 N Massasoit Ave, Chicago, IL",2,-87.76909963719403,41.89966423921772
78,9/1/2017,"1071 W 18Th St, Chicago, IL",3,-87.65247465041617,41.857925
