,Date.Sampled,Address,HCluster,X1st.Draw,X2nd.Draw,X3rd.Draw,X4th.Draw,X5th.Draw,X6th.Draw,X7th.Draw,X8th.Draw,X9th.Draw,X10th.Draw,X11th.Draw,longitude,latitude
0,9/4/2019,"10045 S Bell Ave, Chicago, IL",1,1.52,1.37,1.59,2.53,2.44,1.9,2.45,2.92,3.75,3.86,4.35,-87.67781490218228,41.71051425
1,7/16/2016,"10081 S Calhoun Ave, Chicago, IL",2,3.7,2.62,8.83,13.8,13.2,13.6,12.3,11.8,10.8,8.01,2.75,-87.56204067346938,41.71215663265306
2,12/17/2019,"10036 S Calumet Ave, Chicago, IL",2,4.02,5.35,6.97,6.55,17.7,16.6,12.1,11.6,12.0,11.1,8.72,-87.6153543516618,41.7116373
4,12/14/2019,"10048 S Carpenter St, Chicago, IL",3,9.54,7.31,6.95,5.63,4.91,7.15,12.4,13.1,10.1,9.54,7.23,-87.64928291694758,41.71080275
5,12/14/2021,"10050 S Lasalle St, Chicago, IL",2,10.0,8.8,6.9,6.2,8.3,9.9,11.0,9.8,10.0,9.5,5.3,-87.6322608,41.879333
6,9/16/2016,"10027 S Washtenaw Ave, Chicago, IL",4,2.72,2.73,2.98,3.06,6.33,10.2,10.4,10.4,11.1,11.9,11.4,-87.68887361752259,41.71096245
9,3/23/2022,"10159 S Lasalle St, Chicago, IL",2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-87.6322608,41.879333
12,12/10/2016,"10190 S Seeley Ave, Chicago, IL",5,8.26,8.29,7.79,8.1,6.84,6.83,6.57,6.57,8.59,9.83,11.1,-87.67346020544382,41.707794691948905
16,1/24/2020,"10186 S Yates Ave, Chicago, IL",2,13.2,57.6,35.2,22.1,17.6,15.6,14.0,13.4,13.8,15.3,17.2,-87.56465141867253,41.71021088135345
17,12/20/2016,"10257 S Artesian Ave, Chicago, IL",2,4.62,4.92,6.12,6.08,5.76,5.28,4.81,4.85,4.86,4.62,1.26,-87.68282123416851,41.70744258198515
20,9/17/2019,"10226 S Oglesby Ave, Chicago, IL",2,9.7,25.6,41.5,42.1,36.2,31.2,26.0,23.7,20.3,16.2,4.85,-87.56584718620987,41.70945945768833
21,9/28/2016,"10374 S Hamilton Ave, Chicago, IL",1,1.24,3.35,3.23,6.19,6.78,6.57,8.94,9.38,8.98,8.49,8.88,-87.67563513303124,41.705150909420446
23,10/8/2016,"10393 S Prospect Ave, Chicago, IL",4,4.6,4.65,5.92,6.72,10.3,16.5,12.0,12.8,13.3,12.8,6.78,-87.66192736846983,41.70503299814669
24,8/26/2016,"10336 S St Louis Ave, Chicago, IL",2,0.5,0.5,2.34,2.35,5.64,12.3,13.4,12.7,12.0,10.3,6.93,-87.70886206964389,41.70536426984029
25,7/25/2016,"10391 S Vernon Ave, Chicago, IL",1,3.49,3.3,3.32,5.7,3.9,4.56,5.3,5.5,7.27,7.67,9.34,-87.61239527306569,41.70572468031627
28,3/10/2022,"10493 S Avenue F, Chicago, IL",2,8.3,10.0,13.0,9.1,7.7,6.6,9.0,12.0,14.0,17.0,16.0,-87.530342,41.704769285714285
