,Date.Sampled,Address,X1st.Draw,X2nd.Draw,X3rd.Draw,X4th.Draw,X5th.Draw,X6th.Draw,X7th.Draw,X8th.Draw,X9th.Draw,X10th.Draw,X11th.Draw,PIN,Township Code,Neighborhood Code,Sale Price,Age,ZIP,Longitude,Latitude,Tract Median Income
0,9/4/2019,100XX S BELL AVE,1.52,1.37,1.59,2.53,2.44,1.9,2.45,2.92,3.75,3.86,4.35,25-07-311-006-0000,72.0,72271.0,280000.0,94.0,60643-1903,-87.6777786683356,41.7109940249932,122727.0
1,7/16/2016,100XX S CALHOUN AVE,3.7,2.62,8.83,13.8,13.2,13.6,12.3,11.8,10.8,8.01,2.75,26-07-150-042-0000,70.0,70180.0,,72.0,60617-5354,-87.5618113596814,41.7130560644443,44423.0
2,12/17/2019,100XX S CALUMET AVE,4.02,5.35,6.97,6.55,17.7,16.6,12.1,11.6,12.0,11.1,8.72,25-10-313-023-0000,70.0,70220.0,,72.0,60628-2122,-87.615467968692,41.7124615121678,40612.0
3,12/14/2019,100XX S CARPENTER ST,9.54,7.31,6.95,5.63,4.91,7.15,12.4,13.1,10.1,9.54,7.23,25-08-410-026-0000,72.0,72282.0,,70.0,60643-2248,-87.6493866980486,41.71188915048,37207.0
4,7/14/2021,100XX S CARPENTER ST,14.0,11.0,8.83,8.12,8.69,7.14,11.0,7.51,8.5,8.01,,25-08-410-039-0000,72.0,72282.0,,66.0,60643-2248,-87.6493603558344,41.7108309186366,37207.0
5,12/14/2021,100XX S LASALLE ST,10.0,8.8,6.9,6.2,8.3,9.9,11.0,9.8,10.0,9.5,5.3,25-09-412-027-0000,72.0,72330.0,,97.0,60628-2018,-87.6275791594759,41.7119430234006,39787.0
6,9/16/2016,100XX S WASHTENAW AVE,2.72,2.73,2.98,3.06,6.33,10.2,10.4,10.4,11.1,11.9,11.4,24-12-410-024-0000,72.0,72431.0,,67.0,60655-1648,-87.6895288461388,41.7110509611289,98281.0
7,1/8/2020,101XX S DR MARTIN LUTHER KING JR DR,3.67,1.47,1.81,2.39,3.27,5.47,6.27,3.56,1.71,1.35,1.09,,,,,,,,,
8,10/16/2019,101XX S EBERHART ,3.47,8.82,6.46,4.58,4.4,4.5,7.0,13.8,14.1,12.5,4.27,,,,,,,,,
9,3/23/2022,101XX S LASALLE ST,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,25-09-420-031-0000,72.0,72330.0,,54.0,60628-2020,-87.6275299986783,41.7098156351487,39787.0
10,6/18/2021,101XX S PEORIA ST,4.6,4.9,5.3,6.9,6.5,8.0,8.4,7.9,7.5,7.4,,25-08-421-044-0000,72.0,72282.0,,67.0,60643-2225,-87.6457234068874,41.7102757996185,37207.0
