,1st Draw,2nd Draw,3rd Draw,4th Draw,5th Draw,6th Draw,7th Draw,8th Draw,9th Draw,10th Draw
1st Draw,1.0,-0.004791313025262138,-0.04364027320780464,-0.01783692237572095,-0.03932619330519489,-0.030331246214135323,-0.009760169732491721,-0.014370092189468093,-0.04963162424019513,-0.03051639412893486
2nd Draw,-0.004791313025262138,1.0,-0.0013815702727121193,-0.01922334411068338,-0.0447489819122838,-0.04773565035741407,-0.020551334397249158,-0.024492942092996753,-0.040056686396995875,-0.03518536538842725
3rd Draw,-0.04364027320780464,-0.0013815702727121193,1.0,-0.02016991044475243,-0.03583272315050824,-0.043438198520776405,-0.029997076651466482,-0.04133679426240156,-0.017678790295340994,-0.03611813398292561
4th Draw,-0.01783692237572095,-0.01922334411068338,-0.02016991044475243,1.0,-0.038954208900286225,-0.009307569296817614,0.020346674268478755,0.0012050266772213258,-0.007952779510533773,-0.02985995862849533
5th Draw,-0.03932619330519489,-0.0447489819122838,-0.03583272315050824,-0.038954208900286225,1.0,0.047270900155398435,0.025918989837448145,-0.023084459349629095,-0.026574147858096527,-0.061250632766574976
6th Draw,-0.030331246214135323,-0.04773565035741407,-0.043438198520776405,-0.009307569296817614,0.047270900155398435,1.0,-0.0031980325225008164,-0.015408834898770131,-0.021872208010964275,-0.03453629516578012
7th Draw,-0.009760169732491721,-0.020551334397249158,-0.029997076651466482,0.020346674268478755,0.025918989837448145,-0.0031980325225008164,1.0,-0.04665519508044538,0.004538254017029717,-0.04214077481037996
8th Draw,-0.014370092189468093,-0.024492942092996753,-0.04133679426240156,0.0012050266772213258,-0.023084459349629095,-0.015408834898770131,-0.04665519508044538,1.0,0.04358581316168304,0.07981821013197515
9th Draw,-0.04963162424019513,-0.040056686396995875,-0.017678790295340994,-0.007952779510533773,-0.026574147858096527,-0.021872208010964275,0.004538254017029717,0.04358581316168304,1.0,0.05861621877820905
10th Draw,-0.03051639412893486,-0.03518536538842725,-0.03611813398292561,-0.02985995862849533,-0.061250632766574976,-0.03453629516578012,-0.04214077481037996,0.07981821013197515,0.05861621877820905,1.0
